filepath,xmin,xmax,ymin,ymax
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars213.xml,150,233,160,194
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars207.xml,254,372,229,264
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars398.xml,72,196,139,222
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars367.xml,224,382,161,222
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N107.xml,207,356,174,287
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars401.xml,158,238,223,240
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars415.xml,133,261,157,192
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N113.xml,39,108,129,157
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars373.xml,161,264,132,157
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars429.xml,86,208,166,195
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N62.xml,289,421,188,232
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars47.xml,6,48,143,161
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars53.xml,146,260,187,213
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars165.xml,209,293,217,254
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars171.xml,192,242,146,167
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N89.xml,150,378,217,269
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars159.xml,149,261,184,211
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars84.xml,167,238,201,220
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars90.xml,77,101,204,225
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars91.xml,269,317,170,189
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars85.xml,86,146,218,235
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars158.xml,97,296,118,210
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N88.xml,208,370,89,173
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars170.xml,318,346,190,224
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars164.xml,160,239,144,183
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars52.xml,226,327,181,210
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars46.xml,189,352,193,248
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N63.xml,297,422,174,218
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N77.xml,361,566,190,297
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars428.xml,142,258,128,157
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars414.xml,269,309,206,228
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars372.xml,221,353,275,309
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N112.xml,179,347,256,290
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N106.xml,137,262,249,290
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars366.xml,144,316,112,160
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars400.xml,303,340,191,217
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars399.xml,106,309,62,161
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars206.xml,95,164,185,206
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars212.xml,105,290,94,141
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars204.xml,193,279,145,187
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars210.xml,54,315,90,159
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars238.xml,276,396,186,273
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N110.xml,183,249,211,227
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars370.xml,285,425,249,276
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars416.xml,150,234,207,221
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars402.xml,360,438,165,181
